instance,method,category,runs,cost_mean,cost_std,cost_min,cost_max,reference_cost,gap_mean,gap_std,gap_min,gap_max,routes_mean,valid_rate,train_time_mean,inference_time_mean,postprocess_time_mean,total_time_mean,episodes,rank_by_cost
A-n32-k5,Clarke & Wright + 2-opt,heuristic_local_search,1,829.0,,829.0,829.0,784.0,5.739795918367348,,5.739795918367348,5.739795918367348,5.0,1.0,0.0,0.0028611000161617,0.0009109000093303,0.0037720000254921,,1.0
A-n32-k5,Clarke & Wright Savings,heuristic_constructive,1,842.0,,842.0,842.0,784.0,7.397959183673469,,7.397959183673469,7.397959183673469,5.0,1.0,0.0,0.0028611000161617,0.0,0.0028611000161617,,2.0
A-n32-k5,POMO-style multi-greedy + 2-opt,rl_main_local_search,5,928.0,16.015617378046965,916.0,955.0,784.0,18.36734693877551,2.0428083390366036,16.83673469387755,21.81122448979592,5.0,1.0,725.6439480600063,0.4008490200038068,0.0015503999893553,726.0463474799996,500.0,3.0
A-n32-k5,POMO-style sampled eval + 2-opt,rl_main_local_search,5,946.4,18.796276226955165,928.0,969.0,784.0,20.714285714285715,2.3974842126218303,18.367346938775512,23.596938775510203,5.0,1.0,725.6439480600063,7.65561364000896,0.00192086000461128,733.30148256002,500.0,4.0
A-n32-k5,POMO-style best sampled + 2-opt,rl_main_local_search,5,954.2,41.191018438489714,912.0,1015.0,784.0,21.70918367346939,5.253956433480832,16.3265306122449,29.464285714285715,5.0,1.0,725.6439480600063,0.0,0.00244980001589278,725.6463978600223,500.0,5.0
A-n32-k5,POMO-style best sampled,rl_main,5,1026.4,38.48766036017257,959.0,1052.0,784.0,30.918367346938783,4.90914035206283,22.321428571428573,34.18367346938776,5.0,1.0,725.6439480600063,0.0,0.0,725.6439480600063,500.0,6.0
A-n32-k5,POMO-style sampled eval,rl_main,5,1058.0,58.12486559124244,963.0,1113.0,784.0,34.94897959183673,7.413885917250315,22.831632653061224,41.96428571428572,5.0,1.0,725.6439480600063,7.65561364000896,0.0,733.2995617000154,500.0,7.0
A-n32-k5,POMO-style multi-greedy,rl_main,5,1066.4,63.17673622465787,956.0,1116.0,784.0,36.02040816326531,8.058257171512484,21.93877551020408,42.3469387755102,5.0,1.0,725.6439480600063,0.4008490200038068,0.0,726.0447970800102,500.0,8.0
A-n32-k5,Nearest Neighbor + 2-opt,heuristic_local_search,1,1145.0,,1145.0,1145.0,784.0,46.045918367346935,,46.045918367346935,46.045918367346935,5.0,1.0,0.0,0.0006518999580293,0.00054189999355,0.0011937999515794,,9.0
A-n32-k5,Nearest Neighbor CVRP,heuristic_baseline,1,1145.0,,1145.0,1145.0,784.0,46.045918367346935,,46.045918367346935,46.045918367346935,5.0,1.0,0.0,0.0006518999580293,0.0,0.0006518999580293,,9.0
A-n32-k5,Q-learning RL,rl_baseline,5,1241.4,95.98333188632286,1096.0,1344.0,784.0,58.34183673469388,12.242771924275875,39.795918367346935,71.42857142857143,5.0,1.0,6.200331179995556,0.00576229998841876,0.0,6.206093479983974,1000.0,10.0
A-n37-k5,Clarke & Wright + 2-opt,heuristic_local_search,1,693.0,,693.0,693.0,,,,,,5.0,1.0,0.0,0.0045816999627277,0.001253499998711,0.0058351999614387,,1.0
A-n37-k5,Clarke & Wright Savings,heuristic_constructive,1,705.0,,705.0,705.0,,,,,,5.0,1.0,0.0,0.0045816999627277,0.0,0.0045816999627277,,2.0
A-n37-k5,POMO-style best sampled + 2-opt,rl_main_local_search,5,873.8,34.492028064467306,823.0,912.0,669.0,30.612855007473843,5.155759052984653,23.01943198804185,36.32286995515695,5.0,1.0,833.6789363599964,0.0,0.01333484002389008,833.6922712000203,500.0,3.0
A-n37-k5,POMO-style sampled eval + 2-opt,rl_main_local_search,5,879.0,42.860237983473674,832.0,923.0,669.0,31.390134529147986,6.40661255358351,24.364723467862483,37.96711509715994,5.0,1.0,833.6789363599964,8.837486759992316,0.0033679800108074804,842.5197910999996,500.0,4.0
A-n37-k5,POMO-style multi-greedy + 2-opt,rl_main_local_search,5,907.6,50.13781008380801,825.0,957.0,669.0,35.66517189835575,7.494440969179077,23.31838565022421,43.04932735426009,5.0,1.0,833.6789363599964,0.46627407998312265,0.0031731200171634,834.1483835599968,500.0,5.0
A-n37-k5,Nearest Neighbor + 2-opt,heuristic_local_search,1,927.0,,927.0,927.0,,,,,,5.0,1.0,0.0,0.0007987000280991,0.0020760999759659,0.002874800004065,,6.0
A-n37-k5,Nearest Neighbor CVRP,heuristic_baseline,1,948.0,,948.0,948.0,,,,,,5.0,1.0,0.0,0.0007987000280991,0.0,0.0007987000280991,,7.0
A-n37-k5,Q-learning RL,rl_baseline,5,1019.2,57.00614002017679,946.0,1104.0,669.0,52.34678624813154,8.521097162956167,41.4050822122571,65.02242152466367,5.0,0.8,14.065822080010548,0.013802760001271919,0.0,14.079624840011821,1000.0,8.0
