instance,rank_by_cost,method,category,runs,cost_mean,cost_std,cost_min,cost_max,reference_cost,gap_mean,gap_std,valid_rate,train_time_mean,inference_time_mean,postprocess_time_mean,total_time_mean,episodes
A-n32-k5,1.0,Clarke & Wright + 2-opt,heuristic_local_search,1,829.0,,829.0,829.0,784.0,5.74,,1.0,0.0,0.0029,0.0009,0.0038,
A-n32-k5,2.0,Clarke & Wright Savings,heuristic_constructive,1,842.0,,842.0,842.0,784.0,7.4,,1.0,0.0,0.0029,0.0,0.0029,
A-n32-k5,3.0,POMO-style multi-greedy + 2-opt,rl_main_local_search,5,928.0,16.02,916.0,955.0,784.0,18.37,2.04,1.0,725.6439,0.4008,0.0016,726.0463,500.0
A-n32-k5,4.0,POMO-style sampled eval + 2-opt,rl_main_local_search,5,946.4,18.8,928.0,969.0,784.0,20.71,2.4,1.0,725.6439,7.6556,0.0019,733.3015,500.0
A-n32-k5,5.0,POMO-style best sampled + 2-opt,rl_main_local_search,5,954.2,41.19,912.0,1015.0,784.0,21.71,5.25,1.0,725.6439,0.0,0.0024,725.6464,500.0
A-n32-k5,6.0,POMO-style best sampled,rl_main,5,1026.4,38.49,959.0,1052.0,784.0,30.92,4.91,1.0,725.6439,0.0,0.0,725.6439,500.0
A-n32-k5,7.0,POMO-style sampled eval,rl_main,5,1058.0,58.12,963.0,1113.0,784.0,34.95,7.41,1.0,725.6439,7.6556,0.0,733.2996,500.0
A-n32-k5,8.0,POMO-style multi-greedy,rl_main,5,1066.4,63.18,956.0,1116.0,784.0,36.02,8.06,1.0,725.6439,0.4008,0.0,726.0448,500.0
A-n32-k5,9.0,Nearest Neighbor + 2-opt,heuristic_local_search,1,1145.0,,1145.0,1145.0,784.0,46.05,,1.0,0.0,0.0007,0.0005,0.0012,
A-n32-k5,9.0,Nearest Neighbor CVRP,heuristic_baseline,1,1145.0,,1145.0,1145.0,784.0,46.05,,1.0,0.0,0.0007,0.0,0.0007,
A-n32-k5,10.0,Q-learning RL,rl_baseline,5,1241.4,95.98,1096.0,1344.0,784.0,58.34,12.24,1.0,6.2003,0.0058,0.0,6.2061,1000.0
