instance,method,category,seed,cost,reference_cost,gap_percent,routes,vehicle_count,is_valid,missing_customers_count,duplicated_customers_count,capacity_violations_count,train_time_sec,inference_time_sec,postprocess_time_sec,total_time_sec,episodes,notes
A-n32-k5,Q-learning RL,rl_baseline,42,1344.0,784,71.42857142857143,5,5,True,0,0,0,5.995401500025764,0.0056989999720826745,0.0,6.001100499997847,1000,"Baseline RL tabulaire avec état discret (noeud courant, capacité restante, clients visités, routes utilisées)."
A-n32-k5,Q-learning RL,rl_baseline,43,1310.0,784,67.09183673469387,5,5,True,0,0,0,7.3255409999983385,0.004865699971560389,0.0,7.330406699969899,1000,"Baseline RL tabulaire avec état discret (noeud courant, capacité restante, clients visités, routes utilisées)."
A-n32-k5,Q-learning RL,rl_baseline,44,1096.0,784,39.795918367346935,5,5,True,0,0,0,5.478784199978691,0.0066488999873399734,0.0,5.485433099966031,1000,"Baseline RL tabulaire avec état discret (noeud courant, capacité restante, clients visités, routes utilisées)."
A-n32-k5,Q-learning RL,rl_baseline,45,1237.0,784,57.78061224489795,5,5,True,0,0,0,6.640099599957466,0.00645240000449121,0.0,6.646551999961957,1000,"Baseline RL tabulaire avec état discret (noeud courant, capacité restante, clients visités, routes utilisées)."
A-n32-k5,Q-learning RL,rl_baseline,46,1220.0,784,55.61224489795919,5,5,True,0,0,0,5.561829600017518,0.005145500006619841,0.0,5.566975100024138,1000,"Baseline RL tabulaire avec état discret (noeud courant, capacité restante, clients visités, routes utilisées)."
A-n37-k5,Q-learning RL,rl_baseline,42,1025.0,669,53.21375186846039,5,5,True,0,0,0,6.191258800041396,0.00446099997498095,0.0,6.195719800016377,1000,"Baseline RL tabulaire avec état discret (noeud courant, capacité restante, clients visités, routes utilisées)."
A-n37-k5,Q-learning RL,rl_baseline,43,1022.0,669,52.76532137518684,5,5,True,0,0,0,6.210726999968756,0.0069703999906778336,0.0,6.217697399959434,1000,"Baseline RL tabulaire avec état discret (noeud courant, capacité restante, clients visités, routes utilisées)."
A-n37-k5,Q-learning RL,rl_baseline,44,1104.0,669,65.02242152466367,5,5,True,0,0,0,16.30138820002321,0.023171100008767098,0.0,16.32455930003198,1000,"Baseline RL tabulaire avec état discret (noeud courant, capacité restante, clients visités, routes utilisées)."
A-n37-k5,Q-learning RL,rl_baseline,45,999.0,669,49.327354260089685,5,5,True,0,0,0,21.651798099977896,0.010634100006427616,0.0,21.662432199984323,1000,"Baseline RL tabulaire avec état discret (noeud courant, capacité restante, clients visités, routes utilisées)."
A-n37-k5,Q-learning RL,rl_baseline,46,946.0,669,41.4050822122571,5,5,False,1,0,0,19.973938300041482,0.023777200025506318,0.0,19.997715500066988,1000,"Baseline RL tabulaire avec état discret (noeud courant, capacité restante, clients visités, routes utilisées)."
A-n39-k6,Q-learning RL,rl_baseline,42,1256.0,831,51.143200962695545,6,6,True,0,0,0,13.236137499974575,0.006300500012002885,0.0,13.242437999986578,1000,"Baseline RL tabulaire avec état discret (noeud courant, capacité restante, clients visités, routes utilisées)."
A-n39-k6,Q-learning RL,rl_baseline,43,1077.0,831,29.602888086642597,6,6,True,0,0,0,10.173038900014944,0.005065299978014082,0.0,10.178104199992958,1000,"Baseline RL tabulaire avec état discret (noeud courant, capacité restante, clients visités, routes utilisées)."
A-n39-k6,Q-learning RL,rl_baseline,44,1110.0,831,33.57400722021661,6,6,False,1,0,0,10.37268250004854,0.005242800049018115,0.0,10.377925300097559,1000,"Baseline RL tabulaire avec état discret (noeud courant, capacité restante, clients visités, routes utilisées)."
A-n39-k6,Q-learning RL,rl_baseline,45,1068.0,831,28.51985559566787,6,6,False,1,0,0,8.523849899997003,0.006222299998626113,0.0,8.53007219999563,1000,"Baseline RL tabulaire avec état discret (noeud courant, capacité restante, clients visités, routes utilisées)."
A-n39-k6,Q-learning RL,rl_baseline,46,1075.0,831,29.362214199759322,6,6,False,1,0,0,7.885373199998867,0.005523699976038188,0.0,7.890896899974905,1000,"Baseline RL tabulaire avec état discret (noeud courant, capacité restante, clients visités, routes utilisées)."
